timestamp,average_value,lower_bound,upper_bound
2022-04-15T00:00:00Z,96.4,94.5,98.5
2022-04-16T00:00:00Z,96.0,93.2,98.7
2022-04-17T00:00:00Z,96.7,95.0,98.0
2022-04-18T00:00:00Z,97.0,95.1,99.1
2022-04-19T00:00:00Z,95.3,92.7,98.4
2022-04-20T00:00:00Z,96.0,94.2,97.6
2022-04-21T00:00:00Z,94.5,88.7,97.7
2022-04-22T00:00:00Z,96.2,94.9,98.1
2022-04-23T00:00:00Z,95.9,93.3,97.9
2022-04-24T00:00:00Z,96.8,94.4,99.9
2022-04-25T00:00:00Z,96.3,94.8,98.2
2022-04-26T00:00:00Z,95.8,93.5,97.5
2022-04-27T00:00:00Z,96.0,92.5,98.2
2022-04-28T00:00:00Z,94.9,91.5,97.5
2022-04-29T00:00:00Z,96.9,92.6,100.0
2022-04-30T00:00:00Z,96.5,95.3,100.0
2022-05-02T00:00:00Z,97.2,94.9,99.9
2022-05-03T00:00:00Z,96.0,93.6,98.1
2022-05-04T00:00:00Z,95.8,94.3,97.9
2022-05-05T00:00:00Z,95.9,94.5,97.8
2022-05-06T00:00:00Z,96.9,95.4,100.0
2022-05-07T00:00:00Z,96.9,95.3,98.9
2022-05-08T00:00:00Z,96.6,92.7,98.9
2022-05-09T00:00:00Z,96.7,95.5,97.7
2022-05-10T00:00:00Z,97.2,94.6,99.9
2022-05-11T00:00:00Z,97.2,95.2,98.9
2022-05-12T00:00:00Z,96.6,95.8,97.5
2022-05-13T00:00:00Z,97.0,95.7,98.5
2022-05-14T00:00:00Z,97.5,95.3,100.0
2022-05-15T00:00:00Z,96.6,94.0,99.2
2022-05-16T00:00:00Z,96.3,94.1,98.5
2022-05-17T00:00:00Z,97.0,95.0,100.0
2022-05-18T00:00:00Z,96.8,95.1,98.9
2022-05-19T00:00:00Z,97.1,95.3,99.9
2022-05-20T00:00:00Z,96.3,95.3,97.5
2022-05-21T00:00:00Z,96.7,95.5,97.8
2022-05-22T00:00:00Z,97.0,95.5,98.3
2022-05-23T00:00:00Z,96.9,95.3,98.9
2022-05-24T00:00:00Z,96.6,95.1,98.0
2022-05-25T00:00:00Z,96.1,94.6,97.3
2022-05-27T00:00:00Z,96.7,95.5,98.2
2022-05-28T00:00:00Z,95.9,94.3,96.9
2022-05-29T00:00:00Z,96.9,94.0,98.8
2022-06-02T00:00:00Z,96.8,95.5,98.8
2022-06-03T00:00:00Z,96.4,94.8,98.9
2022-06-04T00:00:00Z,97.5,94.1,100.0
2022-06-05T00:00:00Z,94.5,91.9,97.8
2022-06-06T00:00:00Z,96.1,94.0,98.2
2022-06-07T00:00:00Z,97.8,96.5,99.0
2022-06-08T00:00:00Z,97.1,94.1,99.5
2022-06-09T00:00:00Z,97.5,94.3,100.0
2022-06-10T00:00:00Z,97.5,95.6,99.4
2022-06-11T00:00:00Z,96.4,92.4,99.3
2022-06-12T00:00:00Z,96.3,93.8,98.6
