date_time,heart_zone_id,total_minutes
2022-04-01T16:32,FAT_BURN,1
2022-04-01T16:33,FAT_BURN,1
2022-04-01T16:34,FAT_BURN,1
2022-04-01T16:35,CARDIO,2
2022-04-01T16:36,CARDIO,2
2022-04-01T16:37,CARDIO,2
2022-04-01T16:38,CARDIO,2
2022-04-01T16:39,CARDIO,2
2022-04-01T16:40,CARDIO,2
2022-04-01T16:41,FAT_BURN,1
2022-04-01T16:45,FAT_BURN,1
2022-04-01T16:46,FAT_BURN,1
2022-04-01T16:47,FAT_BURN,1
2022-04-01T16:48,FAT_BURN,1
2022-04-01T16:49,FAT_BURN,1
2022-04-01T16:50,FAT_BURN,1
2022-04-01T16:51,FAT_BURN,1
2022-04-01T16:52,FAT_BURN,1
2022-04-01T16:53,FAT_BURN,1
2022-04-01T16:57,FAT_BURN,1
2022-04-01T16:58,FAT_BURN,1
2022-04-01T16:59,FAT_BURN,1
2022-04-01T17:00,FAT_BURN,1
2022-04-03T15:19,FAT_BURN,1
2022-04-03T15:20,FAT_BURN,1
2022-04-03T15:21,FAT_BURN,1
2022-04-03T15:22,FAT_BURN,1
2022-04-03T15:23,FAT_BURN,1
2022-04-03T15:24,FAT_BURN,1
2022-04-03T15:25,CARDIO,2
2022-04-03T15:26,CARDIO,2
2022-04-03T15:27,CARDIO,2
2022-04-03T15:28,FAT_BURN,1
2022-04-03T15:31,FAT_BURN,1
2022-04-03T15:38,FAT_BURN,1
2022-04-03T15:50,FAT_BURN,1
2022-04-03T15:51,FAT_BURN,1
2022-04-03T16:09,FAT_BURN,1
2022-04-03T16:10,FAT_BURN,1
2022-04-04T06:57,FAT_BURN,1
2022-04-04T06:58,CARDIO,2
2022-04-04T06:59,CARDIO,2
2022-04-04T07:00,CARDIO,2
2022-04-04T07:01,CARDIO,2
2022-04-04T07:02,CARDIO,2
2022-04-04T07:03,CARDIO,2
2022-04-04T07:04,CARDIO,2
2022-04-04T07:05,CARDIO,2
2022-04-04T07:06,CARDIO,2
2022-04-04T07:07,CARDIO,2
2022-04-04T07:08,FAT_BURN,1
2022-04-04T07:09,FAT_BURN,1
2022-04-05T18:33,CARDIO,2
2022-04-05T18:34,CARDIO,2
2022-04-05T18:35,CARDIO,2
2022-04-05T18:36,CARDIO,2
2022-04-05T18:37,FAT_BURN,1
2022-04-05T18:38,FAT_BURN,1
2022-04-05T18:39,FAT_BURN,1
2022-04-05T18:40,FAT_BURN,1
2022-04-05T18:42,CARDIO,2
2022-04-05T18:43,FAT_BURN,1
2022-04-05T18:44,FAT_BURN,1
2022-04-05T18:45,FAT_BURN,1
2022-04-05T18:46,FAT_BURN,1
2022-04-05T19:21,FAT_BURN,1
2022-04-05T19:22,FAT_BURN,1
2022-04-05T19:23,FAT_BURN,1
2022-04-05T19:24,FAT_BURN,1
2022-04-05T19:27,FAT_BURN,1
2022-04-05T19:28,FAT_BURN,1
2022-04-05T19:29,CARDIO,2
2022-04-05T19:30,CARDIO,2
2022-04-05T19:31,CARDIO,2
2022-04-05T19:34,FAT_BURN,1
2022-04-05T19:35,FAT_BURN,1
2022-04-05T19:38,FAT_BURN,1
2022-04-05T20:00,FAT_BURN,1
2022-04-06T20:03,FAT_BURN,1
2022-04-07T16:51,FAT_BURN,1
2022-04-07T16:54,FAT_BURN,1
2022-04-07T16:56,FAT_BURN,1
2022-04-07T16:59,FAT_BURN,1
2022-04-07T17:00,FAT_BURN,1
2022-04-07T17:26,FAT_BURN,1
2022-04-07T17:27,FAT_BURN,1
2022-04-07T17:28,FAT_BURN,1
2022-04-07T17:29,FAT_BURN,1
2022-04-07T17:30,FAT_BURN,1
2022-04-07T17:31,FAT_BURN,1
2022-04-07T17:32,FAT_BURN,1
2022-04-07T17:33,FAT_BURN,1
2022-04-07T17:34,FAT_BURN,1
2022-04-07T17:35,FAT_BURN,1
2022-04-07T17:36,FAT_BURN,1
2022-04-07T17:37,FAT_BURN,1
2022-04-07T17:38,FAT_BURN,1
2022-04-09T15:11,FAT_BURN,1
2022-04-09T23:39,FAT_BURN,1
2022-04-09T23:40,FAT_BURN,1
2022-04-09T23:41,FAT_BURN,1
2022-04-09T23:42,FAT_BURN,1
2022-04-09T23:43,FAT_BURN,1
2022-04-09T23:44,FAT_BURN,1
2022-04-09T23:45,FAT_BURN,1
2022-04-10T00:24,FAT_BURN,1
2022-04-10T00:25,FAT_BURN,1
